"time","temp","vpd","co2","eppfd_1","eppfd_2","eppfd_3","eppfd_4","eppfdi_1","eppfdi_2","eppfdi_3","eppfdi_4","ppfd_1","ppfd_2","ppfd_3","ppfd_4","ppfdi_1","ppfdi_2","ppfdi_3","ppfdi_4","eppfd_g","eppfdi_g"
2025-04-24 06:45:00,20.15,-0.064,528.4,0.1719171,0.1748287,0.165616,0.1726306,0.629074,0.6605283,0.6361026,0.645838,0.1126204,0.1302556,0.1248867,0.09208591,0.4664109,0.502015,0.4964342,0.4397539,0.1861594,0.5021
2025-04-24 07:00:00,20.58,-0.046,532.6,2.063811,2.157046,2.111914,2.124665,3.838825,4.02643,3.96113,3.934655,1.585061,1.642232,1.683325,1.554841,2.984824,3.074911,3.177011,2.952916,2.179781,4.3135
2025-04-24 07:15:00,20.27,-0.061,534.1,7.55281,7.887553,7.780171,7.756173,11.92135,12.45822,12.28945,12.21592,5.883952,6.015734,6.243454,5.850393,9.268462,9.462813,9.852489,9.212431,8.242561,12.9106
2025-04-24 07:30:00,20.76,-0.038,533.4,18.36001,19.00009,18.89915,18.85615,26.50945,27.7897,27.35518,27.53544,14.28817,14.47415,15.11304,14.21783,20.75414,21.31964,21.92315,20.76607,19.68123,29.0142
2025-04-24 07:45:00,21.22,-0.019,536.1,38.87151,40.69695,39.87884,40.30837,58.74223,61.45105,60.2618,60.73265,30.47223,31.22803,32.03373,30.59281,45.92125,46.97424,48.34672,46.05989,42.10053,59.2015
2025-04-24 08:00:00,21.7,0.005,533.4,61.53523,64.40633,63.27813,63.82214,56.38467,58.02464,57.43846,58.24385,48.37173,49.51763,50.96305,48.5912,44.47715,44.49131,46.29496,44.59696,61.10566,49.7387
2025-04-24 08:15:00,22.08,0.016,534.2,63.88863,66.41687,65.33727,66.32556,69.33694,72.32799,71.01362,72.42324,50.43133,51.12732,52.68671,50.70921,54.88505,55.75172,57.27729,55.47904,65.81535,68.6118
2025-04-24 08:30:00,22.61,0.033,531.3,71.95464,74.73432,73.75719,74.4632,68.60307,71.65919,70.79741,71.33818,56.91497,57.60545,59.65611,57.08646,54.35836,55.50801,57.36462,54.78269,72.14689,64.5756
2025-04-24 08:45:00,22.94,0.057,531.7,76.46529,79.20019,78.46252,78.95128,83.53967,86.57717,85.56448,86.82067,60.62811,61.30759,63.56124,60.63591,66.31164,67.14935,69.33846,66.66795,78.67834,88.6804
2025-04-24 09:00:00,23.61,0.091,530.3,110.5208,115.1609,113.3723,114.6889,146.7188,152.794,150.3084,150.7639,87.72141,89.11174,91.85437,88.17294,116.1911,118.0724,121.8285,115.7975,119.0491,185.6469
2025-04-24 09:15:00,22.93,0.108,524,171.3118,181.2054,177.1869,177.1847,113.9126,120.6956,118.0307,118.3453,135.2275,140.0271,143.3787,135.2319,90.7407,93.99039,95.82428,91.00165,164.4597,112.6503
2025-04-24 09:30:00,22.71,0.169,520.4,122.5092,128.8801,126.2154,127.0296,142.5482,150.4945,147.3289,147.9704,97.40324,99.99895,102.4711,97.72272,113.2982,116.9056,119.4655,113.6818,126.8406,144.9101
2025-04-24 09:45:00,22.78,0.139,518.8,179.301,187.3553,183.8125,185.525,208.5946,217.172,212.7149,216.1348,142.4381,145.0966,149.1061,142.8094,165.3511,168.0315,172.2374,166.2473,186.7436,181.1047
2025-04-24 10:00:00,21.45,0.089,508.7,198.2932,206.6031,202.5312,205.2712,206.9528,218.1331,214.7366,213.0055,157.2871,159.3522,163.8969,157.9386,164.0186,168.5844,173.9401,163.225,200.2567,196.6163
2025-04-24 10:15:00,22.08,0.065,506.5,161.3917,168.8422,166.3402,167.244,130.9638,138.1007,135.3565,135.9333,128.2948,130.691,134.9082,128.6777,103.8199,106.4613,109.7166,104.4425,155.5445,128.6415
2025-04-24 10:30:00,21.81,0.093,506.2,143.8301,151.1049,148.1923,149.4219,196.2332,201.4316,199.5898,201.9989,114.6165,117.549,120.6062,114.988,156.5249,156.4372,162.7292,155.7556,150.9871,233.5643
2025-04-24 10:45:00,21.11,0.004,506.6,219.3679,232.0733,226.7598,227.8541,189.3882,196.4958,194.8267,195.3139,174.9117,180.9701,184.6054,175.4588,150.6862,152.7601,158.6452,150.1514,219.2228,196.1553
2025-04-24 11:00:00,21.15,-0.01,501.6,188.9103,199.1805,194.5572,196.053,154.6787,161.2759,158.3672,159.746,150.5368,155.2374,158.4036,151.0943,123.3471,125.4425,128.6897,123.292,184.115,135.8745
2025-04-24 11:15:00,21.71,0.04,500,155.423,161.9153,160.611,161.3454,173.8713,184.0379,181.8249,180.7642,123.6062,125.2748,130.4088,124.275,138.1018,143.1463,147.6552,138.6323,163.922,231.7729
2025-04-24 11:30:00,20.86,-0.043,497.2,228.8593,240.0889,237.0039,236.8607,252.8811,269.214,263.2253,262.279,182.2235,186.7217,192.8914,181.969,201.1651,210.1678,214.6722,201.228,235.6307,239.5792
2025-04-24 11:45:00,21.26,-0.063,498,291.9952,307.0684,302.1412,302.6364,332.7765,347.4266,343.6886,343.07,232.6066,239.4381,246.0451,232.5951,264.6748,271.0839,279.4793,263.4716,304.8402,383.4962
2025-04-24 12:00:00,22.06,0.017,497.2,326.3511,343.037,337.4224,336.8763,305.909,323.3093,316.6408,317.884,259.6847,265.8929,274.0205,259.7745,244.0712,250.3821,256.7743,245.6713,323.7365,303.0118
2025-04-24 12:15:00,22.25,0.087,494.9,276.8198,289.1012,284.2436,286.4088,287.11,294.8824,292.0349,295.5727,220.0661,222.9995,230.2936,220.8582,228.5525,227.5261,237.3961,227.2725,282.4805,358.6905
