time,qy_1,qy_2,qy_3,qy_4,temp,vpd,co2,eppfd_1,eppfd_2,eppfd_3,eppfd_4,eppfdi_1,eppfdi_2,eppfdi_3,eppfdi_4,ppfd_1,ppfd_2,ppfd_3,ppfd_4,ppfdi_1,ppfdi_2,ppfdi_3,ppfdi_4,eppfd_g,eppfdi_g,date,edli_1,edli_2,edli_3,edli_4,dli_1,dli_2,dli_3,dli_4
2025-04-23T18:30:00Z,0.845,0.77,0.78,0.809,22.6,0.579,475.6,20.06922,20.89037,20.68279,20.0041,10.82997,11.26781,11.22712,11.06752,15.77202,16.12457,16.72468,15.47685,8.488267,8.677656,9.05852,8.517808,17.09533,9.2604,2025-04-23,19.2074622408,21.555607716900003,21.1229828118,19.7874265311,15.093815930999998,17.0919316017,17.452703646899998,15.7780537299
2025-04-23T18:45:00Z,0.869,0.79,0.786,0.829,23.13,0.59,479.2,7.216324,7.529565,7.389698,7.301888,5.157273,5.303452,5.240849,5.159638,5.634028,5.797646,5.941909,5.615533,3.999897,4.054619,4.202027,3.951721,6.574512,4.5946,2025-04-23,19.213956932400002,21.562384325400004,21.12963354,19.793998230299998,15.0988865562,17.0971494831,17.458051365,15.7831077096
2025-04-23T19:00:00Z,0.844,0.775,0.78,0.853,22.8,0.504,483.6,5.039552,5.100936,5.088244,5.044701,5.695826,5.758652,5.764103,5.708969,3.904625,3.914157,4.0788,3.858354,4.417374,4.436085,4.648279,4.358693,4.952052,5.213,2025-04-23,19.2184925292,21.566975167800003,21.134212959600003,19.798538461200003,15.1024007187,17.1006722244,17.461722285,15.7865802282
2025-04-23T19:15:00Z,0.828,0.777,0.783,0.815,22.46,0.434,481.6,5.732266,5.798613,5.863257,5.762701,5.751518,5.807109,5.909297,5.831952,4.424278,4.453676,4.691714,4.392188,4.40754,4.456001,4.720361,4.41975,5.644245,5.6777,2025-04-23,19.223651568599998,21.572193919500002,21.139489890900002,19.803724892100004,15.1063825689,17.1046805328,17.465944827599998,15.790533197400002
2025-04-23T19:30:00Z,0.834,0.784,0.785,0.84,22.26,0.363,481.5,6.05944,6.08366,6.105448,6.139645,6.775704,6.863659,6.820942,6.86201,4.641987,4.638064,4.847091,4.638468,5.209605,5.242808,5.429549,5.181433,6.17404,6.9743,2025-04-23,19.2291050646,21.577669213500002,21.1449847941,19.8092505726,15.1105603572,17.1088547904,17.4703072095,15.7947078186
2025-04-23T19:45:00Z,0.87,0.793,0.787,0.857,22.18,0.3,486.4,6.085984,6.228343,6.180823,6.147372,4.615301,4.780337,4.661754,4.619807,4.689322,4.757231,4.934731,4.645709,3.530387,3.612999,3.704855,3.497439,5.781557,3.9125,2025-04-23,19.2345824502,21.5832747222,21.1505475348,19.8147832074,15.114780747000001,17.1131362983,17.474748467399998,15.798888956699999
2025-04-23T20:00:00Z,0.839,0.798,0.812,0.835,21.95,0.24,487.4,3.166022,3.215289,3.182105,3.17063,2.12261,2.132602,2.124179,2.132881,2.412782,2.430283,2.517653,2.377258,1.614187,1.615443,1.682719,1.583121,2.800138,1.7876,2025-04-23,19.237431869999998,21.5861684823,21.1534114293,19.8176367744,15.1169522508,17.115323553,17.4770143551,15.8010284889
2025-04-23T20:15:00Z,0.848,0.833,0.843,0.855,21.81,0.184,484.9,1.194883,1.233466,1.212642,1.211991,0.4402,0.466527,0.4534011,0.4405784,0.9138803,0.9522288,0.9650407,0.8974852,0.3309583,0.3800494,0.3607341,0.2938701,0.9695489,0,2025-04-23,19.2385072647,21.5872786017,21.154502807100002,19.8187275663,15.11777474307,17.11618055892,17.47788289173,15.801836225579999
2025-04-23T20:30:00Z,0.873,0.849,0.862,0.877,21.76,0.142,489.3,0.1293703,0.1353254,0.1235153,0.1196888,0,0,0,0,0.08128022,0.1040927,0.09131102,0.06640162,0,0,0,0,0.05508,0,2025-04-23,19.23862369797,21.58740039456,21.15461397087,19.81883528622,15.117847895268001,17.116274242350002,17.477965071648,15.801895987038002
2025-04-24T07:00:00Z,0.816,0.764,0.771,0.839,20.58,-0.046,532.6,2.063811,2.157046,2.111914,2.124665,3.838825,4.02643,3.96113,3.934655,1.585061,1.642232,1.683325,1.554841,2.984824,3.074911,3.177011,2.952916,2.179781,4.3135,2025-04-24,0.0018574299,0.0019413413999999998,0.0019007226,0.0019121984999999997,0.0014265549,0.0014780088,0.0015149925000000001,0.0013993569
