"time","qy_1","qy_2","qy_3","qy_4"
2025-04-07 08:29:54.932,0.839,0.642,0.644,0.794
2025-04-07 08:44:54.112,0.825,0.666,0.682,0.822
2025-04-07 08:59:53.265,0.851,0.704,0.726,0.842
2025-04-07 09:14:52.337,0.833,0.518,0.548,0.758
2025-04-07 09:29:51.387,0.753,0.42,0.462,0.701
2025-04-07 09:44:50.769,0.746,0.429,0.465,0.712
2025-04-07 09:59:50.014,0.756,0.397,0.425,0.686
2025-04-07 10:14:49.249,0.778,0.491,0.5,0.708
2025-04-07 10:29:48.508,0.778,0.446,0.464,0.731
2025-04-07 10:44:47.831,0.737,0.378,0.408,0.682
2025-04-07 10:59:47.085,0.691,0.357,0.379,0.649
2025-04-07 11:14:46.311,0.677,0.329,0.347,0.667
2025-04-07 11:29:45.523,0.714,0.392,0.422,0.681
2025-04-07 11:44:44.721,0.716,0.382,0.404,0.673
2025-04-07 11:59:43.806,0.688,0.38,0.412,0.664
2025-04-07 12:14:43.037,0.688,0.333,0.357,0.635
2025-04-07 12:29:42.267,0.677,0.345,0.357,0.614
2025-04-07 12:44:41.355,0.66,0.319,0.343,0.647
2025-04-07 12:59:40.5,0.658,0.308,0.337,0.624
2025-04-07 13:14:40.046,0.669,0.28,0.296,0.563
2025-04-07 13:29:39.109,0.675,0.291,0.321,0.597
2025-04-07 13:44:38.202,0.675,0.32,0.337,0.623
2025-04-07 13:59:37.215,0.689,0.315,0.335,0.644
2025-04-07 14:14:36.218,0.694,0.318,0.339,0.616
2025-04-07 14:29:35.397,0.702,0.345,0.36,0.627
2025-04-07 14:44:34.696,0.696,0.372,0.398,0.685
2025-04-07 14:59:34.076,0.714,0.41,0.425,0.694
2025-04-07 15:14:33.404,0.749,0.397,0.417,0.695
2025-04-07 15:29:32.598,0.708,0.39,0.421,0.709
2025-04-07 15:44:31.893,0.719,0.388,0.413,0.684
2025-04-07 15:59:31.131,0.73,0.403,0.431,0.687
2025-04-07 16:14:30.376,0.703,0.363,0.406,0.668
2025-04-07 16:29:29.468,0.677,0.38,0.425,0.659
2025-04-07 16:44:28.568,0.669,0.355,0.382,0.65
2025-04-07 16:59:27.726,0.659,0.332,0.384,0.668
2025-04-07 17:14:26.944,0.733,0.398,0.448,0.712
2025-04-07 17:29:26.214,0.768,0.517,0.543,0.728
2025-04-07 17:44:25.237,0.791,0.546,0.573,0.778
2025-04-07 17:59:24.269,0.796,0.52,0.565,0.747
